区名,年份,累计客户流失数量,客户流失率
昌平区,2022,101,4.45%
昌平区,2023,137,10.48%
昌平区,2024,285,23.02%
昌平区,2025,540,46.79%
朝阳区,2022,551,4.67%
朝阳区,2023,710,10.68%
朝阳区,2024,285,13.10%
朝阳区,2025,540,17.67%
大兴区,2022,79,2.09%
大兴区,2023,265,9.12%
大兴区,2024,383,19.27%
大兴区,2025,949,44.43%
房山区,2022,108,3.25%
房山区,2023,179,8.65%
房山区,2024,265,16.64%
房山区,2025,786,40.33%
丰台区,2022,84,4.17%
丰台区,2023,107,9.48%
丰台区,2024,210,19.91%
丰台区,2025,442,41.86%
海淀区,2022,105,3.91%
海淀区,2023,137,9.02%
海淀区,2024,376,23.03%
海淀区,2025,1085,63.45%
石景山区,2022,79,2.79%
石景山区,2023,174,8.92%
石景山区,2024,336,20.77%
石景山区,2025,597,41.82%
通州区,2022,181,5.67%
通州区,2023,149,10.34%
通州区,2024,317,20.28%
通州区,2025,723,42.95%
